threshold;versione;time_slot;book_name;tipo;stato;actual_ci;forecast_time;forecast_ci;tempo_sec;co2_emessa_g
150;plain;10:30;Alla ricerca del tempo perduto;corrente;eseguito;130.0;11:00;140.0;8.33802680000008;0.015054770611111256
150;plain;10:30;Il grande Gatsby;corrente;eseguito;130.0;11:00;140.0;8.383092500000203;0.015136139236111476
150;plain;10:30;Madame Bovary;corrente;eseguito;130.0;11:00;140.0;8.347073199999613;0.015071104388888193
150;plain;10:30;Le avventure di Alice nel Paese delle Meraviglie;corrente;eseguito;130.0;11:00;140.0;8.796207599999434;0.015882041499998976
150;plain;10:30;Il conte di Montecristo;corrente;eseguito;130.0;11:00;140.0;8.53835429999981;0.015416473041666323
150;plain;10:30;Moby Dick;precedente;eseguito;130.0;11:00;140.0;1.0000003385357559e-06;1.8055561668006703e-09
150;plain;10:30;Il piccolo principe;precedente;eseguito;130.0;11:00;140.0;4.000003173132427e-07;7.222227951489105e-10
150;plain;10:30;Anna Karenina;precedente;eseguito;130.0;11:00;140.0;1.9999970390927047e-07;3.611105765028495e-10
150;plain;10:30;Lo straniero;precedente;eseguito;130.0;11:00;140.0;1.600000359758269e-06;2.8888895384524302e-09
150;plain;10:30;I miserabili;precedente;eseguito;130.0;11:00;140.0;7.000007826718502e-07;1.2638903020463962e-09
150;plain;11:00;Frankenstein;corrente;eseguito;145.0;11:30;135.0;8.28482349999922;0.016684713993053983
150;plain;11:00;Dracula;corrente;eseguito;145.0;11:30;135.0;8.323214000000007;0.01676202819444446
150;plain;11:00;I fratelli Karamazov;corrente;eseguito;145.0;11:30;135.0;8.57870339999954;0.01727655545833241
150;plain;11:00;Il buio oltre la siepe;corrente;eseguito;145.0;11:30;135.0;8.520116200000302;0.017158567347222833
150;plain;11:00;Jane Eyre;corrente;eseguito;145.0;11:30;135.0;8.377818599999955;0.01687199579166658
150;plain;11:00;Alla ricerca del tempo perduto;precedente;eseguito;145.0;11:30;135.0;1.2999998943996616e-06;2.6180553428882077e-09
150;plain;11:00;Il grande Gatsby;precedente;eseguito;145.0;11:30;135.0;5.000001692678779e-07;1.006944785331143e-09
150;plain;11:00;Madame Bovary;precedente;eseguito;145.0;11:30;135.0;2.999995558639057e-07;6.041657722259213e-10
150;plain;11:00;Le avventure di Alice nel Paese delle Meraviglie;precedente;eseguito;145.0;11:30;135.0;1.499999598308932e-06;3.020832524372155e-09
150;plain;11:00;Il conte di Montecristo;precedente;eseguito;145.0;11:30;135.0;6.999998731771484e-07;1.4097219668150906e-09
150;plain;11:30;I viaggi di Gulliver;corrente;eseguito;160.0;12:00;170.0;8.37728049999987;0.0186161788888886
