TimeSlot;Immagine;Versione;Budget;CI;Tempo_s;CO2_Emessa_g;Numero_filtri;Filtri_Applicati
08:00;immagine3.jpeg;pattern_standard;0.0001188;230.0;4.2094721;0.0134469248;4;resolution,saturation,blur,relighting
08:00;immagine3.jpeg;ca_pattern;0.0001188;230.0;0.0185036;5.91087e-05;2;resolution,saturation
08:00;immagine3.jpeg;plain;0.0003246;230.0;4.2329039;0.0135217763;4;resolution,saturation,blur,relighting
08:00;immagine3.jpeg;pattern_standard;0.0003246;230.0;4.2841164;0.0136853718;4;resolution,saturation,blur,relighting
08:00;immagine3.jpeg;ca_pattern;0.0003246;230.0;0.0589162;0.0001882045;3;resolution,saturation,blur
08:00;immagine3.jpeg;plain;0.0009338;230.0;4.2390264;0.0135413343;4;resolution,saturation,blur,relighting
08:00;immagine3.jpeg;pattern_standard;0.0009338;230.0;4.3126018;0.0137763669;4;resolution,saturation,blur,relighting
08:00;immagine3.jpeg;ca_pattern;0.0009338;230.0;0.0604733;0.0001931786;3;resolution,saturation,blur
08:00;immagine3.jpeg;plain;0.0045347;230.0;4.2214757;0.0134852696;4;resolution,saturation,blur,relighting
08:00;immagine3.jpeg;pattern_standard;0.0045347;230.0;4.2382667;0.0135389075;4;resolution,saturation,blur,relighting
08:00;immagine3.jpeg;ca_pattern;0.0045347;230.0;0.0581121;0.0001856359;3;resolution,saturation,blur
08:00;immagine3.jpeg;plain;0.0094174;230.0;4.2031572;0.0134267522;4;resolution,saturation,blur,relighting
08:00;immagine3.jpeg;pattern_standard;0.0094174;230.0;4.2304361;0.0135138931;4;resolution,saturation,blur,relighting
08:00;immagine3.jpeg;ca_pattern;0.0094174;230.0;4.2246511;0.0134954132;4;resolution,saturation,blur,relighting
08:00;immagine3.jpeg;plain;0.01835;230.0;4.2227291;0.0134892735;4;resolution,saturation,blur,relighting
08:00;immagine3.jpeg;pattern_standard;0.01835;230.0;4.3438689;0.0138762479;4;resolution,saturation,blur,relighting
08:00;immagine3.jpeg;ca_pattern;0.01835;230.0;4.198527;0.0134119613;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;plain;4.7e-06;230.0;3.2660129;0.0104330968;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;pattern_standard;4.7e-06;230.0;3.2876295;0.0105021498;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;ca_pattern;4.7e-06;230.0;0.0043198;1.37994e-05;0;
08:00;immagine4.jpeg;plain;5.89e-05;230.0;3.3005448;0.010543407;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;pattern_standard;5.89e-05;230.0;3.2591717;0.0104112429;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;ca_pattern;5.89e-05;230.0;0.0064584;2.0631e-05;1;resolution
08:00;immagine4.jpeg;plain;0.0001188;230.0;3.2508945;0.0103848019;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;pattern_standard;0.0001188;230.0;3.2519985;0.0103883285;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;ca_pattern;0.0001188;230.0;0.0192915;6.16256e-05;2;resolution,saturation
08:00;immagine4.jpeg;plain;0.0003246;230.0;3.2858695;0.0104965276;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;pattern_standard;0.0003246;230.0;3.3181164;0.0105995385;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;ca_pattern;0.0003246;230.0;0.058507;0.0001868974;3;resolution,saturation,blur
08:00;immagine4.jpeg;plain;0.0009338;230.0;3.2917811;0.0105154118;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;pattern_standard;0.0009338;230.0;3.3216093;0.0106106964;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;ca_pattern;0.0009338;230.0;0.056494;0.0001804669;3;resolution,saturation,blur
08:00;immagine4.jpeg;plain;0.0045347;230.0;3.228692;0.0103138772;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;pattern_standard;0.0045347;230.0;3.2776777;0.0104703593;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;ca_pattern;0.0045347;230.0;0.057498;0.0001836742;3;resolution,saturation,blur
08:00;immagine4.jpeg;plain;0.0094174;230.0;3.3003182;0.0105426831;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;pattern_standard;0.0094174;230.0;3.2803068;0.0104787578;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;ca_pattern;0.0094174;230.0;3.2542076;0.0103953854;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;plain;0.01835;230.0;3.2999407;0.0105414772;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;pattern_standard;0.01835;230.0;3.271079;0.0104492801;4;resolution,saturation,blur,relighting
08:00;immagine4.jpeg;ca_pattern;0.01835;230.0;3.3097607;0.0105728467;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;plain;4.7e-06;230.0;1.5298462;0.0048870087;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;pattern_standard;4.7e-06;230.0;1.5355416;0.0049052023;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;ca_pattern;4.7e-06;230.0;0.0047417;1.51471e-05;0;
08:00;immagine5.jpeg;plain;5.89e-05;230.0;1.519222;0.0048530703;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;pattern_standard;5.89e-05;230.0;1.5097724;0.0048228841;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;ca_pattern;5.89e-05;230.0;0.0080168;2.56092e-05;1;resolution
