Documento;Tipo_query;Versione;Budget;CI;Tempo_s;CO2_Emessa_g;Numero_filtri;Filtri_applicati;Parole_trovate;File_corretto_trovato
il signore degli anelli.pdf;Media;Plain;4.35e-05;230.0;0.00723406000106479;2.3108802781179192e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;4.35e-05;230.0;0.007580579998466419;2.4215741661767734e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;CA;4.35e-05;230.0;0.007627719999436522;2.4366327775977777e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Plain;5.3e-05;230.0;0.0074818200002482625;2.3900258334126394e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;5.3e-05;230.0;0.007179260000702925;2.2933747224467677e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;CA;5.3e-05;230.0;0.007116159999714;2.2732177776864165e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Plain;6.3e-05;230.0;0.007310200000938493;2.3352027780775743e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;6.3e-05;230.0;0.007166819999838481;2.2894008332817368e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;CA;6.3e-05;230.0;0.007366259998525493;2.3531108328623102e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Plain;7.3e-05;230.0;0.007011979999515461;2.2399380554007723e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;7.3e-05;230.0;0.0069896799999696665;2.232814444434755e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;CA;7.3e-05;230.0;0.0075315399997634815;2.405908611035557e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Lunga;Plain;9e-06;230.0;0.01351003999952809;4.315707222071473e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;Pattern;9e-06;230.0;0.013017960000433959;4.158515000138626e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;CA;9e-06;230.0;1.3600001693703234e-06;4.344444985488533e-09;0;[];0;False
il signore degli anelli.pdf;Lunga;Plain;1.42e-05;230.0;0.014405480001005343;4.601750555876707e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;Pattern;1.42e-05;230.0;0.013066580000304385;4.1740463889861234e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;CA;1.42e-05;230.0;0.0041984199997386895;1.3411619443609704e-05;1;['NER'];12;True
il signore degli anelli.pdf;Lunga;Plain;2.4e-05;230.0;0.01345464000114589;4.298010000366048e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;Pattern;2.4e-05;230.0;0.013172459999623243;4.207869166546314e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;CA;2.4e-05;230.0;0.004392980000557145;1.4033130557335326e-05;1;['NER'];12;True
il signore degli anelli.pdf;Lunga;Plain;3.4e-05;230.0;0.013107039999158587;4.186971110842327e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;Pattern;3.4e-05;230.0;0.013315439999860245;4.25354333328869e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;CA;3.4e-05;230.0;0.00879711999950814;2.8101911109539896e-05;2;['NER', 'NAME'];32;True
il signore degli anelli.pdf;Lunga;Plain;4.35e-05;230.0;0.013144439998723102;4.198918332925435e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;Pattern;4.35e-05;230.0;0.013027519999741343;4.161568888806262e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;CA;4.35e-05;230.0;0.012902060000487835;4.1214913890447255e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;Plain;5.3e-05;230.0;0.01282132000051206;4.0956994446080196e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;Pattern;5.3e-05;230.0;0.013752959999692393;4.393306666568403e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;CA;5.3e-05;230.0;0.013359119999950052;4.267496666650711e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;Plain;6.3e-05;230.0;0.012875959999655606;4.113153888778874e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;Pattern;6.3e-05;230.0;0.012995679998857668;4.1513977774128665e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;CA;6.3e-05;230.0;0.013559439999517054;4.331487777623504e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;Plain;7.3e-05;230.0;0.012862979999772506;4.1090074999273286e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;Pattern;7.3e-05;230.0;0.013129720000142698;4.194216111156695e-05;3;['NER', 'NAME', 'VERBS'];34;True
il signore degli anelli.pdf;Lunga;CA;7.3e-05;230.0;0.012843499999871711;4.102784722181241e-05;3;['NER', 'NAME', 'VERBS'];34;True
Harry Potter e la pietra filosfale.pdf;Corta;Plain;9e-06;230.0;0.005970159999560565;1.9071344443040693e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;Pattern;9e-06;230.0;0.006712759999209084;2.1443538886362353e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;CA;9e-06;230.0;1.2399999832268803e-06;3.961111057530313e-09;0;[];0;True
Harry Potter e la pietra filosfale.pdf;Corta;Plain;1.42e-05;230.0;0.006088920000911458;1.945071666957827e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;Pattern;1.42e-05;230.0;0.006039719999535009;1.9293549998514617e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;CA;1.42e-05;230.0;0.0020560199991450645;6.567841663935623e-06;1;['NER'];1;True
Harry Potter e la pietra filosfale.pdf;Corta;Plain;2.4e-05;230.0;0.006016900000395254;1.9220652779040392e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;Pattern;2.4e-05;230.0;0.006147199999395525;1.963688888695793e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;CA;2.4e-05;230.0;0.004357340000569821;1.3919280557375815e-05;2;['NER', 'NAME'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;Plain;3.4e-05;230.0;0.006095520000235411;1.9471800000752008e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;Pattern;3.4e-05;230.0;0.006277200000477023;2.0052166668190493e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;CA;3.4e-05;230.0;0.005973500000254717;1.9082013889702568e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;Plain;4.35e-05;230.0;0.006056019999959972;1.934561944431658e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;Pattern;4.35e-05;230.0;0.006283540000003996;2.007241944445721e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;CA;4.35e-05;230.0;0.006046360000618733;1.9314761113087623e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;Plain;5.3e-05;230.0;0.006439199999294942;2.05696666644144e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;Pattern;5.3e-05;230.0;0.006138180001289584;1.9608075004119505e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;CA;5.3e-05;230.0;0.0064526200003456324;2.0612536112215218e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;Plain;6.3e-05;230.0;0.0061153999988164285;1.9535305551774703e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;Pattern;6.3e-05;230.0;0.006391880000592209;2.041850555744734e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;CA;6.3e-05;230.0;0.006052300000010291;1.9333736111143987e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;Plain;7.3e-05;230.0;0.006012719999853288;1.9207299999531338e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;Pattern;7.3e-05;230.0;0.007702080001035938;2.460386666997591e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Corta;CA;7.3e-05;230.0;0.005888079999567708;1.8809144443063514e-05;3;['NER', 'NAME', 'VERBS'];3;True
Harry Potter e la pietra filosfale.pdf;Media;Plain;9e-06;230.0;0.007446300000447081;2.378679166809484e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;Pattern;9e-06;230.0;0.007979460000206018;2.548994166732478e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;CA;9e-06;230.0;1.3800003216601907e-06;4.408334360858943e-09;0;[];0;False
Harry Potter e la pietra filosfale.pdf;Media;Plain;1.42e-05;230.0;0.007717939999565715;2.4654530554168258e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;Pattern;1.42e-05;230.0;0.007203479999589035;2.3011116665353865e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;CA;1.42e-05;230.0;0.0032446399993204976;1.036482222005159e-05;1;['NER'];1;True
Harry Potter e la pietra filosfale.pdf;Media;Plain;2.4e-05;230.0;0.00723336000010022;2.3106566666986815e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;Pattern;2.4e-05;230.0;0.007919460000266554;2.529827500085149e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;CA;2.4e-05;230.0;0.00538626000052318;1.7206108335004603e-05;2;['NER', 'NAME'];6;True
Harry Potter e la pietra filosfale.pdf;Media;Plain;3.4e-05;230.0;0.00751823999962653;2.4016599998806974e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;Pattern;3.4e-05;230.0;0.007628880000265781;2.4370033334182357e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;CA;3.4e-05;230.0;0.0073721600005228535;2.3549955557225785e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;Plain;4.35e-05;230.0;0.00814236000078381;2.6010316669170507e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;Pattern;4.35e-05;230.0;0.007183919999806676;2.294863333271577e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;CA;4.35e-05;230.0;0.007406500000070082;2.365965277800165e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;Plain;5.3e-05;230.0;0.008085480000590905;2.582861666855428e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;Pattern;5.3e-05;230.0;0.007453280000481755;2.3809088890427827e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;CA;5.3e-05;230.0;0.007342699999571778;2.3455847220854292e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;Plain;6.3e-05;230.0;0.007279440000274917;2.3253766667544878e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;Pattern;6.3e-05;230.0;0.007954999999492429;2.5411805553934147e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;CA;6.3e-05;230.0;0.007427620000089519;2.3727119444730408e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;Plain;7.3e-05;230.0;0.007882539999991422;2.5180336111083714e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;Pattern;7.3e-05;230.0;0.007350100001349347;2.3479486115421527e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Media;CA;7.3e-05;230.0;0.0078084399989165835;2.4943627774316866e-05;3;['NER', 'NAME', 'VERBS'];7;True
Harry Potter e la pietra filosfale.pdf;Lunga;Plain;9e-06;230.0;0.013014499999553664;4.157409722079643e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;Pattern;9e-06;230.0;0.012544859999616164;4.007385833210719e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;CA;9e-06;230.0;1.1800009815488011e-06;3.769447579947559e-09;0;[];0;False
Harry Potter e la pietra filosfale.pdf;Lunga;Plain;1.42e-05;230.0;0.013005639999755658;4.1545794443663906e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;Pattern;1.42e-05;230.0;0.012835160000395262;4.1001205556818206e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;CA;1.42e-05;230.0;0.0043557799996051475;1.3914297220960889e-05;1;['NER'];9;True
Harry Potter e la pietra filosfale.pdf;Lunga;Plain;2.4e-05;230.0;0.012880459999723825;4.1145913888006666e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;Pattern;2.4e-05;230.0;0.012334319999354193;3.9401299997937006e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;CA;2.4e-05;230.0;0.004105659999186173;1.3115302775178053e-05;1;['NER'];9;True
Harry Potter e la pietra filosfale.pdf;Lunga;Plain;3.4e-05;230.0;0.012856460000330116;4.1069247223276765e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;Pattern;3.4e-05;230.0;0.013320440000097734;4.2551405555867765e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;CA;3.4e-05;230.0;0.008594520000042394;2.7454716666802094e-05;2;['NER', 'NAME'];24;True
Harry Potter e la pietra filosfale.pdf;Lunga;Plain;4.35e-05;230.0;0.01298727999892435;4.1487144441008346e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;Pattern;4.35e-05;230.0;0.012730580000061309;4.06671305557514e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;CA;4.35e-05;230.0;0.012824719999480294;4.0967855553895385e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;Plain;5.3e-05;230.0;0.012630539999372558;4.034755833132901e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;Pattern;5.3e-05;230.0;0.012352600000303937;3.945969444541536e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;CA;5.3e-05;230.0;0.0145306399987021;4.641732221807615e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;Plain;6.3e-05;230.0;0.012723560001177248;4.0644705559316205e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;Pattern;6.3e-05;230.0;0.013204960000439313;4.218251111251447e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;CA;6.3e-05;230.0;0.013043459999607876;4.166660833208072e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;Plain;7.3e-05;230.0;0.013039520000165793;4.165402222275184e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;Pattern;7.3e-05;230.0;0.012681100000190782;4.050906944505389e-05;3;['NER', 'NAME', 'VERBS'];29;True
Harry Potter e la pietra filosfale.pdf;Lunga;CA;7.3e-05;230.0;0.013299659999756842;4.248502499922325e-05;3;['NER', 'NAME', 'VERBS'];29;True
Memorie dal sottosuolo.pdf;Corta;Plain;9e-06;230.0;0.006164980000176001;1.9693686111673338e-05;3;['NER', 'NAME', 'VERBS'];2;True
